server_round,client_id,bytes_received_update,bytes_sent_global,num_samples,round_duration_sec,timestamp
34,client_2,1923,3323,60000,0.741712,2026-03-01 20:50:24
34,client_0,1923,3323,60000,0.741712,2026-03-01 20:50:24
34,client_1,1923,3323,60000,0.741712,2026-03-01 20:50:24
34,client_4,1923,3323,60000,0.741712,2026-03-01 20:50:24
34,client_3,1923,3323,60000,0.741712,2026-03-01 20:50:24
35,client_2,1923,3323,60000,0.217598,2026-03-01 20:50:33
35,client_5,1923,3323,60000,0.217598,2026-03-01 20:50:33
35,client_3,1923,3323,60000,0.217598,2026-03-01 20:50:33
35,client_0,1923,3323,60000,0.217598,2026-03-01 20:50:33
35,client_1,1923,3323,60000,0.217598,2026-03-01 20:50:33
35,client_4,1923,3323,60000,0.217598,2026-03-01 20:50:33
36,client_4,1923,3323,60000,0.402321,2026-03-01 20:50:42
36,client_1,1923,3323,60000,0.402321,2026-03-01 20:50:42
36,client_3,1923,3323,60000,0.402321,2026-03-01 20:50:42
36,client_2,1923,3323,60000,0.402321,2026-03-01 20:50:42
36,client_5,1923,3323,60000,0.402321,2026-03-01 20:50:42
36,client_0,1923,3323,60000,0.402321,2026-03-01 20:50:42
37,client_0,1923,3323,60000,0.636875,2026-03-01 20:50:51
37,client_1,1923,3323,60000,0.636875,2026-03-01 20:50:51
37,client_4,1923,3323,60000,0.636875,2026-03-01 20:50:51
37,client_2,1923,3323,60000,0.636875,2026-03-01 20:50:51
37,client_3,1923,3323,60000,0.636875,2026-03-01 20:50:51
37,client_5,1923,3323,60000,0.636875,2026-03-01 20:50:51
38,client_5,1923,3323,60000,2.387674,2026-03-01 20:51:02
38,client_2,1923,3323,60000,2.387674,2026-03-01 20:51:02
38,client_4,1923,3323,60000,2.387674,2026-03-01 20:51:02
38,client_0,1923,3323,60000,2.387674,2026-03-01 20:51:02
38,client_3,1923,3323,60000,2.387674,2026-03-01 20:51:02
38,client_1,1923,3323,60000,2.387674,2026-03-01 20:51:02
39,client_1,1923,3323,60000,0.419289,2026-03-01 20:51:10
39,client_5,1923,3323,60000,0.419289,2026-03-01 20:51:10
39,client_3,1923,3323,60000,0.419289,2026-03-01 20:51:10
39,client_0,1923,3323,60000,0.419289,2026-03-01 20:51:10
39,client_4,1923,3323,60000,0.419289,2026-03-01 20:51:10
39,client_2,1923,3323,60000,0.419289,2026-03-01 20:51:10
40,client_2,1923,3323,60000,0.273577,2026-03-01 20:51:19
40,client_5,1923,3323,60000,0.273577,2026-03-01 20:51:19
40,client_1,1923,3323,60000,0.273577,2026-03-01 20:51:19
40,client_3,1923,3323,60000,0.273577,2026-03-01 20:51:19
40,client_4,1923,3323,60000,0.273577,2026-03-01 20:51:19
40,client_0,1923,3323,60000,0.273577,2026-03-01 20:51:19
41,client_0,1923,3323,60000,0.233243,2026-03-01 20:51:27
41,client_2,1923,3323,60000,0.233243,2026-03-01 20:51:27
41,client_1,1923,3323,60000,0.233243,2026-03-01 20:51:27
41,client_3,1923,3323,60000,0.233243,2026-03-01 20:51:27
41,client_5,1923,3323,60000,0.233243,2026-03-01 20:51:27
41,client_4,1923,3323,60000,0.233243,2026-03-01 20:51:27
42,client_4,1923,3323,60000,0.379228,2026-03-01 20:51:36
42,client_0,1923,3323,60000,0.379228,2026-03-01 20:51:36
42,client_3,1923,3323,60000,0.379228,2026-03-01 20:51:36
42,client_2,1923,3323,60000,0.379228,2026-03-01 20:51:36
42,client_1,1923,3323,60000,0.379228,2026-03-01 20:51:36
42,client_5,1923,3323,60000,0.379228,2026-03-01 20:51:36
43,client_5,1923,3323,60000,0.344863,2026-03-01 20:51:46
43,client_0,1923,3323,60000,0.344863,2026-03-01 20:51:46
43,client_3,1923,3323,60000,0.344863,2026-03-01 20:51:46
43,client_2,1923,3323,60000,0.344863,2026-03-01 20:51:46
43,client_1,1923,3323,60000,0.344863,2026-03-01 20:51:46
43,client_4,1923,3323,60000,0.344863,2026-03-01 20:51:46
44,client_0,1923,3323,60000,0.396568,2026-03-01 20:51:54
